багор,багоръ
ваять,ваять
вблизи,вблизи
вблизи,въ близи
вброд,вбродъ
вброд,въ бродъ
ввалиться,ввалиться
введение,введенiе
ввек,ввѣкъ
вверить,ввѣрить
вверху,вверху
ввести,ввести
ввечеру,ввечеру
в виде,въ видѣ
ввиду,въ виду
ввоз,ввозъ
вволю,вволю
вволю,въ волю
ввосьмером,ввосьмеромъ
ввязаться,ввязаться
вглубь,вглубь
вдалеке,вдалекѣ
вдали,вдали
вдаль,вдаль
вдвое,вдвое
вдевать,вдѣвать
вдевятеро,вдевятеро
вдёжка,вдѣжка
вдесятеро,вдесятеро
вдобавок,вдобавокъ (нарѣчiе)
вдоволь,вдоволь
вдогонку,вдогонку
вдоль,вдоль
вдохновенный,вдохновенный
вдребезги,вдребезги и въ дребезги
вдруг,вдругъ
вегетарианец,вегетарiанецъ
ведать,вѣдать
ведающий,вѣдающiй
ведение (от ведать - знать),вѣдѣнiе
ведение (от вести),веденiе
веди,вѣди (третья буква русской азбуки)
ведомый,вѣдомый (съ ударенемъ на первомъ слогѣ
ведренный,ведряный
ведро,ведро (посуда)
вёдро,вёдро (хорошая погода)
ведун,вѣдунъ
ведущий,вѣдущiй (отъ вѣдать)
ведь,вѣдь
ведьма,вѣдьма
веер,вѣеръ
вежа,вѣжа
вежда,вѣжда
вежливо,вѣжливо
везде,вездѣ
везти,везти
века,вѣкъ
веко,вѣко
вековечный,вѣковѣчный
векша,векша (бѣлка)
велеть,велѣть
великий,великiй
Великобритания,Великобританнiя
великолепный,великолѣпный
Великороссия,Великороссiя
великорусский,велико-русскiй
Вена (город),Вѣна (городъ)
вена (кров. жила),вена (кров. жила)
венец,вѣнецъ
венец (житель вены),вѣнецъ (житель вѣны)
венецианский,венецiанскiй
Вениамин,Венiаминъ
веник,вѣникъ
вено,вѣно
венок,вѣнокъ
вентилятор,вентиляторъ
венчать,вѣнчать
венчик,вѣнчикъ
вепрь,вепрь
вера,вѣра
веревка,веревка
верезжать,верезжать
вереница,вереница
веретено,веретено
вериги,вериги
верить,вѣрить
вермишель,вермишель
верно,вѣрно
верность,вѣрность
вернуть,вернуть
верный,вѣрный
вероисповедание,вѣроисповѣданiе
вероятно,вѣроятно
верста,верста
верстак,верстакъ
вертеть,вертѣть
вертикальный,вертикальный
верующих,вѣрующiй
верфь,верфь
верх,верхъ
вершина,вершина
вершить,вершить
вершок,вершокъ
вес,вѣсъ
веселиться,веселиться
весенний,весеннiй
весить,вѣсить
веский,вѣскiй
весна,весна
весомый,вѣсомый
вести,вести
весть,вѣсть
весы,вѣсы
весь,весь
весьма,весьма
ветвистое,вѣтвистый
ветвь,вѣтвь
ветер,вѣтеръ
ветеринар,ветеринаръ
ветреность,вѣтреность
ветреный (человек),вѣтреный (человекъ)
ветряный (мельница),вѣтряная (мельница)
ветхий,ветхiй
ветчина,ветчина
веха,вѣха
вече,вѣче
вечер,вечеръ
