багор,багоръ
ограниченность,ограниченность
огромный,огромный
огурец,огурецъ
одевать,одѣвать
одёжа,одёжа
одежда,одежда
одеколон,одеколонъ
оделять,одѣлять
Одесса,Одесса
одеть,одѣть
одеяло,одѣяло
одеяние,одѣянiе
один,одинъ
одиннадцать,одиннадцать
одинокий,одинокiй (живущiй одиноко)
одиноко,одиноко
однакож,однакожъ
одновременно,одновременно
одного,одного
односельчанин,односельчанинъ
одушевленный,одушевленный
одышка,одышка
ожерелье,ожерелье
ожесточиться,ожесточиться
оживленный,оживленный
ожог,ожогъ
озабочивать,озабочивать
оземь,оземь
озеро,озеро
озноб,ознобъ
озорник,озорникъ
оказавший,оказавшій
оказия,оказiя
оказывается,оказывается
окапывать,окапывать
окаянный,окаянный
океан,океанъ
оккупация,оккупацiя
около,около
околоток,околотокъ
окончание,окончанiе
окончательно,окончательно
оконченность,оконченность
окошка,окошка
окраина,окраина
окрашенный,окрашенный
окрестность,окрестность
окрещённый,окрещённый
окровавленный,окровавленный
окроплённый,окроплённый
округе,округъ
округленный,округленный
округлый,округлый
окруженный,окруженный
окружной,окружной и окружный
октябрь,октябрь
оладья,оладья
олеандр,олеандръ
оледенелый,оледенѣлый
Оленька,Оленька
олеография,олеографiя
оливка,оливка
олимпиада,олимпiада
олифа,олифа и алифа
оловянный,оловянный
оляповатый,оляповатый
омерзение,омерзѣнiе
омнибус,омнибусъ
омофор,омофоръ
Онега,Онѣга и Онега
онеметь,онѣмѣть
они,онѣ – ж. и ср. род
онуча,онуча
опасность,опасность
опека,опека
операция,операцiя
опереться,опереться
опечаленный,опечаленный
опешить,опѣшить
описание,описаніе
оплатить,оплатить
опознать,опознать
опозоренный,опозоренный
опороченный,опороченный
оппозиция,оппозицiя
оппонент,оппонентъ
оппортунизм,оппортунизмъ
определеннее,опредѣленнѣе
определённый,опредѣлённый
опричнина,опричнина и опричина
опричь,опричь
опровергнуть,опровергнуть
опровержение,опроверженіе
опрометью,опрометью
опт,обтъ и оптъ
оптовый,оптовый и обтовый
опять-таки,опять-таки
орава,орава и арава
оракул,оракулъ
оранжерея,оранжерея
орарь,орарь
оратор,ораторъ
орбита,орбита
организованность,организованность
ореол,ореолъ
орех,орѣхъ
оригинал,оригиналъ
оркестр,оркестръ
орудие,орудiе
Орфей,Орфей
орфография,орѳографiя
осветить,освѣтить
освещать,освѣщать
освещение,освѣщеніе
осёдлый,осѣдлый
осень,осень
осенять,осѣнять
осерчать,осерчать
осечка,осѣчка
осклизлый,осклизлый и ослизлый
ослабеть,ослабѣть
ослабить,ослабить
ослепить,ослѣпить
осмеивать,осмѣивать
осмелиться,осмѣлиться
осмотреть,осмотрѣть
основание,основанiе
особенно,особенно
осока,осока
оставленнаго,оставленнаго
оставшагося,оставшагося
оставьте,оставьте
останавливать,останавливать
остервенение,остервенѣнiе
остов,остовъ и оставъ
осторожен,остороженъ
острастка,острастка
остриё,вострiё и востреё
остриё,острiё и остреё
остриженный,остриженный
остров,островъ
острое,острое
осязание,осязаніе
отбежал,отбѣжалъ
отблеск,отблескъ
отброшенный,отброшенный
отведать,отвѣдать
отвезти,отвезти и отвезть
отверстие,отверстіе и отверзтiе
отвесный,отвѣсный
отвести,отвести
ответ,отвѣтъ
ответить,отвѣтить
ответственность,отвѣтственность
отвечать,отвѣчать
отвещать,отвѣщать
отвлеченный,отвлеченный
отворить,отворить
отгребать,отгребать
отдалённый,отдалённый
отдел,отдѣлъ
отдельно,отдѣльно
отдохновение,отдохновенiе
отдыхать,отдыхать
отереть,отереть (что-нибудь)
отец,отецъ
отечественный,отечественный
отечество,отечество
отколе,отколѣ
открытие,открытіе
откуда,откуда
отлагать,отлагать
отлетелть,отлетѣть
отлит,отлитъ
отличие,отличіе
отличнейший,отличнѣйшій
отлично,отлично
отложить,отложить
отменен,отмѣненъ
отменно,отмѣнно
отместка,отместка
отметить,отмѣтить
отнекиваться,отнѣкиваться
отнести,отнести
относительно,относительно
относящийся,относящійся
отношение,отношеніе
отныне,отнынѣ
отнюдь,отнюдь
отовсюду,отовсюду и отвсюду
отойти,отойти
отомщевать,отомщевать
отопление,отопленіе
отошёл,отошёлъ
отпереть,отпереть
отпрячь,отпрячь
отражение,отраженiе
отрасль,отрасль
отрастать,отрастать
отрезать,отрѣзать
отрепье,отрепье (лохмотья)
отречение,отреченiе
отрешиться,отрѣшиться
отроду,отроду
отселе,отселѣ
отступление,отступленіе
отсутствие,отсутствiе
отсюда-же,отсюда-же
оттаивать,оттаивать
отталкивать,отталкивать
оттащить,оттащить
оттенок,оттѣнокъ
оттепель,оттепель
оттёр,оттёръ
оттиск,оттискъ
оттого,оттого (союзъ)
оттоле,оттолѣ 
оттолкнуть,оттолкнуть
оттоманка,оттоманка
отторжение,отторженiе
оттуда,оттуда
отучить,отучить
отчаиваться,отчаиваться
отчасти,отчасти
отчаянье,отчаянье
отче,отче (звательный падежъ отъ отецъ)
отчего,отчего (союзъ)
отчество,отчество
отчетливо,отчетливо
отчим,отчимъ и вотчимъ
отыскать,отыскать
отэкзаменовать,отъэкзаменовать
офеня,офеня
офицер,офицеръ
официальный,офицiальный и оффицiальный
официант,офицiантъ
официоз,офицiозъ
офтальмология,офталмологiя
охапка,охапка
охмелеть,охмелѣть (или охмѣлѣть)
охра,охра и вохра
оценка,оцѣнка
оцепенение,оцѣпенѣнiе
очевидец,очевидецъ
очевидно,очевидно
очень,очень
очерк,очеркъ
очертание,очертаніе
ошеломить,ошеломить
ощущение,ощущенiе
павиан,павиiанъ
павильон,павильонъ и павилiонъ
пагода,пагода
падчерица,падчерица
падший,падшiй и павшiй
паладин,паладинъ
палата,палата
палач,палачъ
палаш,палашъ
палёный,палёный
палеография,палеографiя
палимпсест,палимпсестъ
палисадник,палисадникъ
палитра,палитра
палладий,палладiй
пальто,пальто
памфлет,памфлетъ
панегирик,панегирикъ и панигирикъ
панель,панель
панибрат,панибратъ
паникадило,паникадило
панихида,панихида
панорама,панорама
пансион,пансiонъ (воспит. зав.)
панталык,панталыкъ
Пантелей,Пантелей
пантеон,пантеонъ
пантомима,пантомима
панцирь,панцырь
папенька,папенька
паперть,паперть
папильотка,папильотка и папилiотка
папоротник,папоротникъ
параграф,параграфъ
пара-другая,пара-другая
паралич,параличъ
параллелепипед,параллелепипедъ
параллелограмм,параллелограмъ
параллельный,параллельный
парафин,параффинъ
парашют,парашютъ
пареный,пареный
парикмахер,парикмахеръ
Парнас,Парнассъ
паровоз,паровозъ
паром,паромъ и поромъ
пароход,пароходъ
партер,партеръ
партнёр,партнёръ
Парфений,Парѳенiй
Парфенон,Парѳенонъ
парфюмерия,парфюмерiя
пасека,пасѣка
пасёт,пасётъ (пасти)
пасовать,пасовать
паспорт,паспортъ
пассаж,пассажъ
пассажир,пассажиръ
пассаты,пассаты
пассивный,пассивный
пастбище,пастбище
пастбище,пастбище
пастила,пастила и постила
пастырь,пастырь
пастьба,пастьба
патока,патока
патриарх,патрiархъ
Патрикей,Патрикей и Патрикѣй и Патрикiй
патронташ,патронташъ
патруль,патруль
Пафнутий,Пафнутiй
пафос,паѳосъ
пахота,пахота
пациент,пацiентъ
пашенка,пашенка
Пашенька,Пашенька
паять,паять
паяц,паяцъ
певец,пѣвецъ
певчий,пѣвчiй
пегий,пѣгiй
педагог,педагогъ
педаль,педаль
педантизм,педантизмъ
пекарь,пекарь
пекла,пекла (печь)
Пелагея,Пелагея
пелена,пелена
пелерина,пелерина
пельмени,пельмени
пена,пѣна
пенал,пеналъ
Пенаты,Пенаты
пензенский,пензенскiй
пение,пѣніе
пенистый,пѣнистый
пенка,пѣнка
пенный,пѣнный
пеночка,пѣночка
пенсион,пенсiонъ
пенсне,пенснэ
пенька,пенька
пеня,пеня
пенязь,пенязь и пѣнязь
пенять,пенять
первенец,первенецъ
первобытный,первобытный
первоначально,первоначально
первый,первый
пергамент,пергаментъ и пергаменъ
перебежчик,перебѣжчикъ
перебил,перебилъ
перебирал,перебиралъ
переведено,переведено
перевел,перевелъ
перевод,переводъ
переводчик,переводчикъ
перевозчик,перевозчикъ
перед,передъ
передавать,передавать
передать,передать
передача,передача
переделать,передѣлать
передний,переднiй
переезд,переѣздъ
переехать,переѣхать
перейти,перейти
перекреститься,перекреститься
перелететь,перелететь
перелистывать,перелистывать и перелистовать
перемена,перемѣна
перенести,перенести
переписчик,переписчикъ
переплести,переплести
переплёт,переплётъ
переплётчик,переплётчикъ
переплыт,переплыть
переполох,переполохъ
перепонка,перепонка
перерабатывать,перерабатывать и переработывать
перерасти,перерасти
перерезать,перерѣзать
перерождать,перерождать
пересказ,пересказъ
пересмотреть,пересмотрѣть
перестать,перестать
перестрелка,перестрѣлка
перетереть,перетереть
перетирать,перетирать
переть,переть
перетянуть,перетянуть
переход,переходъ
переходит,переходитъ
перечеркнуть,перечеркнуть
перечисленный,перечисленный
перечислять,перечислять
перечить,перечить
перешедший,перешедшiй
перешёл,перешёлъ
перила,перила
период,періодъ
перипетия,перипетiя
периферия,периферiя
перифраза,перифраза
перламутр,перламутръ и перламутъ
пернатый,пернатый
перпендикуляр,перпендикуляръ
перрон,перронъ
персия,персiя
персиянин,персiянинъ
персонал,персоналъ
перстень,перстень
перхоть,перхоть
перчатка,перчатка
перья,перья
песенник,пѣсенникъ (сборникъ пѣсенъ)
пескарь,пескарь
песня,пѣсня
песок,песокъ
пессимизм,пессимизмъ
пест,пѣстъ
пестовать,пѣстовать
пестренький,пестренькiй
песчаный,песчаный
Петенька,Петенька
Петербург,Петербургъ
петербургский,петербургскiй
Петергоф,Петергофъ
петиция,петицiя
петля,петля
Петр,Петръ
петух,пѣтухъ
петь,пѣть
пехота,пѣхота
печаловаться,печаловаться
печаль,печаль
печатание,печатаніе
печать,печать
печенег,печенѣгъ
печёный,печёный
Печора,Печора
печь,печь
пешеход,пѣшеходъ
пеший,пѣшiй
пешка,пѣшка
пешком,пѣшкомъ
пешня,пешня и пѣшня
пещера,пещера
пианино,пiанино
пианиссимо,пiаниссимо
пиджак,пиджакъ
пировать,пировать
пирог,пирогъ
пируэт,пируэтъ
писан,писаный (красавецъ)
писание,писаніе
писанный,писанный
писатель,писатель
писчий,писчiй
письмена,письмена
письменность,письменность
Пифагор,Пиѳагоръ
Пифия,Пиѳiя
пища,пища
пиявка,пiявка
плавучий,пловучiй
планиметрия,планиметрiя
платёж,платёжъ
платина,платина (металлъ)
платок,платокъ
платформа,платформа
платформа,платформа
платье,платье
платьице,платьице
платяной,платяной
плачет,плачетъ
плачу,плачу
плачу,плачу
плашмя,плашмя
плащаница,плащаница
племя,племя
племянник,племянникъ
плен,плѣнъ
плесень,плѣсень
плеском,плескъ
плеснь,плѣснь
плетень,плетень
плечо,плечо
плешь,плѣшь
плеяда,плеяда и плеада
пловец,пловец
плоскогубцы,плоскогубцы
плотва,плотва
плотничья,плотничья
плотно,плотно
плотский,плотскiй
плохое,плохое
плохонький,плохонькiй
площадь,площадь
плутишка,плутишка
поаршинно,поаршинно
побагроветь,побагровѣть
победа,побѣда
победить,побѣдить
побежать,побѣжать
поблагодарить,поблагодарить
побледнеть,поблѣднѣть
поближе,поближе
поблизости,поблизости
побольше,побольше
побояться,побояться
по-братски,по-братски
побрёл,побрёлъ
по-будничному,по будничному
повар,поваръ
поведение,поведенiе
поведёрно,поведёрно
повезло,повезло
повёл,повёлъ
повелеть,повелѣть
поверить,повѣрить
повернуть,повернуть
поверх,поверхъ
поверхностный,поверхностный
поверху,поверху
повеса,повѣса
повеселее,повеселѣе
повесить,повѣсить
повесть,повѣсть
повешен,повѣшенъ
повзводно,повзводно
повивать,повивать
по-видимому,повидимому
повинность,повинность
поворот,поворотъ
повредить,повредить
повремённость,повремённость
повсеместно,повсемѣстно
повсюду,повсюду
повторение,повтореніе
по-вчерашнему,по вчерашнему
повыше,повыше
поганый,поганый
погибает,погибаетъ
погибший,погибшій
поглотить,поглотить
поглядть,поглядѣть
погод,погода
поголовно,поголовно
погонщик,погонщикъ
погоны,погоны
подавленный,подавленный
подагра,подагра
поданный,поданный (отъ подать)
подачка,подачка
под боком,подъ бокомъ
подведен,подведенъ
подвергаться,подвергаться
по двое,подвое
подготовленность,подготовленность
подданный,подданный
подданство,подданство
поддёвка,поддёвка
поддерживать,поддерживать
поддеть,поддѣть
поддьякон,поддьяконъ
поделать,подѣлать
подёнщик,подёнщикъ
подешевле,подешевле
поджидаючи,поджидаючи
поджог,поджогъ
поди-ко,поди-ко
подкидыш,подкидышъ
подле,подлѣ
подлететь,подлетѣть
подлинник,подлинникъ
подлинно,подлинно
подличать,по?дличать
подмастерье,подмастерье
подмётка,подмётка
поднести,поднести
подниматься,подыматься
подножие,подножіе
подобие,подобiе
подобно,подобно
подобру-поздорову,по-добру по-здорову
пододеяльник,пододѣяльникъ
подойти,подойти
подоконник,подоконникъ
подоконник,подоконникъ
подолгу,подолгу и по-долгу
подолее,подолѣе
по-домашнему,по домашнему
подорожник,подорожникъ
подошва,подошва
подошёл,подошёлъ
подписчик,подписчикъ
подражание,подражаніе
подражать,подражать
подрез,подрѣзъ и подрѣзь
подробнее,подробнѣе
подробное,подробное
подровняли,подровнять (сдѣлать ровнымъ)
подряд,подъ рядъ (т. е. сряду)
подсвечник,подсвѣчникъ
подсвечник,подсвѣчникъ
подсекать,подсѣкать
подскочить,подскочить
подсолнечник,подсолнечникъ
под стать,подъ стать
подстёгивать,подстёгивать
подстерегать,подстерегать
подстрекать,подстрекать
подтверждение,подтвержденіе
подтекать,подтекать
под уздцы,подъ-уздцы и подъ-устцы
подумайте,подумайте
подушки,подушка
подходивший,подходившій
подходящий,подходящій
подчас,подчасъ
подчас,подъ-часъ
подъезжать,подъѣзжать
подъём,подъёмъ
подъехать,подъѣхать
подымать,подымать
подыскать,подыскать
подытожить,подытожить
подьячий,подьячiй
поезд,поѣздъ
поесть,поѣсть
поёт,поётъ
поехать,поѣхать
пожалеть,пожалѣть
пожалуйста,пожалуйста
пожелтеть,пожелтѣть
пожиже,пожиже
позади,позади
позаимствовать,позаимствовать
позвольте,позвольте
позднее,позднѣе
поздний,позднiй
поздно,поздно
поздороваться,поздороваться
позёвывать,позѣвывать
по зимнему,по-зимнему
позлащать,позлащать
позумент,позументъ
поистине,поистинѣ и по-истинѣ
пойдем-ко,пойдемъ-ко
пойдешь,пойдешь
пойти,пойти
показываться,показываться
покамест,покамѣстъ
покаянный,покаянный
поклонник,поклонникъ
поклоняться,поклоняться
покой,покой
покойник,покойникъ
поколение,поколѣнiе
покончить,покончить
покорять,покорять
по крайней мере,по крайней мѣрѣ
покуда,покуда
покудова,покудова
полагать,полагать
пол-аршина,полъ-аршина
по-латыни,по-латыни
полверсты,полверсты
полгода,полгода
полдень,полдень
полдня,полдня
полдюжины,полдюжины
поле,поле
полезный,полезный
полемика,полемика
поленница,полѣнница
полено,полѣно
по-летнему,по лѣтнему
ползти,ползти
полиграф,полиграфъ
политический,политическiй
полиция,полиція
полицмейстер,полицмейстеръ и полицемейстеръ
полнеть,полнѣть
полное,полное
полно-ка,полно-ка
полный,полный
половине,половина
положен,положенъ
положение,положеніе
положенный,положенный (причастiе)
положительный,положительный
полосонька,полосонька и полосынька
полость,полость
полотенце,полотенце
полотно,полотно
полоумный,полоумный
Полоцк,Полоцкъ
полстолько,полстолько
полтина,полтина
полтинник,полтинникъ
полтора,полтора
полтора,полтора
полтораста,полтораста
полузакрыв,полузакрывъ
полукруг,полукругъ
полуустав,полууставъ полу-уставъ????
полученный,полученный
получивший,получившій
получше,получше
полчаса,полчаса
полымя,полымя и поломя
полынья,полынья
пользоваться,пользоваться
польский,польскій
помада,помада
помазанник,помазанникъ
помаленьку,помаленьку
помело,помело
помер,померъ
померкнуть,померкнуть
поместье,помѣстье
помёт,помётъ
пометка,помѣтка
помеха,помѣха
помешанный,помѣшанный
помещение,помѣщенiе
помещик,помѣщикъ
помилуйте,помилуйте
помимо,помимо
по-моему,по-моему
поможете,поможете
помочь,помочь
помощник,помощникъ
помощь,помощь
понапрасну,понапрасну
понаслышке,понаслышкѣ
по-настоящему,понастоящему
по-нашему,по-нашему
поневоле,поневолѣ и по-неволѣ 
понедельник,понедѣльникъ
понемногу,понемногу
по необходимости,по необходимости
понести,понести
по несчастью,по несчастью
пониже,пониже
понимающий,понимающій
по-новому,по новому
пономарь,понамарь
по нутру,понутру
поныне,понынѣ
по-нынешнему,по нынѣшнему
понятие,понятіе
пообедать,пообѣдать
поодаль,поодаль
поодиночке,поодиночкѣ
поочереди,поочереди
поощрённый,поощрённый
попарно,попарно
поперёк,поперёкъ
попеременно,поперемѣнно
поперхнуться,поперхнуться
поплавок,поплавокъ
пополам,пополамъ и по-поламъ
пополудни,пополудни
по правде,по правдѣ
по-прежнему,попрежнему и по-прежнему
попробовать,попробовать
попустому,по-пустому
попусту,попусту
попытка,попытка
поражать,поражать
поразить,поразить
пораньше,пораньше
порасти,порасти
порицание,порицаніе
порода,порода
порождать,порождать
порознь,порознь
порок,порокъ
поросёнок,поросёнокъ
поросль,поросль
порох,порохъ
портмоне,портмонэ
портфель,портфель
по-русски,по-русски
поручик,поручикъ
порфира,порфира
Порфирий,Порфирій
порядок,порядокъ
посадник,посадникъ
посаженный,посаженный (причастiе - лукъ)
посвистывать,посвистывать
по-своему,по-своему
по-свойски,по-свойски
посему,посему
посеребрённый,посеребрённый
посередине,посерединѣ
посетитель,посѣтитель
посещать,посѣщать
посещение,посѣщенiе
поскольку,поскольку
посконный,посконный
послание,посланіе
посланник,посланникъ
после,послѣ
последний,послѣдній
последователь,послѣдователь
последствие,послѣдствiе
последующий,послѣдующiй
послезавтра,послѣзавтра
послеобеденный,послѣобѣденный
послесловие,послѣсловіе
послушайте,послушайте
посменно,посмѣнно
посмотреть,посмотрѣть
посмотрите,посмотрите
посоветовать,посовѣтовать
посольство,посольство
посошок,посошокъ
поспевать,поспѣвать
поспеть,поспѣть
по справедливости,по справедливости
посреди,посреди
посредине,посрединѣ
посредственность,посредственность
посредством,посредствомъ
поставленный,поставленный
постановление,постановленіе
по-старинному,по старинному
по-старому,по старому
постель,постель и постеля
постепенно,постепенно
постлать,постлать
постный,постный
постольку,постольку
посторонний,посторонній
пострел,пострѣлъ
построение,построеніе
поступление,поступленіе
Потап,Потапъ и Патапiй
потемнеть,потемнѣть
потенистее,потѣнистѣе
потерять,потерять
потеха,потѣха
потихоньку,потихоньку
потом,потомъ
потомственный,потомственный
потомство,потомство
потому,потому
потому-то,потому-то
потребность,потребность
потрещать,потрещать
потчевать,потчевать
поутру,поутру
похерить,похѣрить
похлёбка,похлёбка
похмелье,похмелье
поход,походъ
похожий,похожій
поцеловать,поцѣловать
поцелуй,поцѣлуй
почему,почему
почерк,почеркъ
почернеть,почернѣть
починить,починить
почтальон,почтальонъ и почталiонъ
почтмейстер,почтмейстеръ
почувствовать,почувствовать
почти забытый,почти-забытый
пошевелить,пошевелить
пошёл,пошёлъ
пощёчина,пощёчина
поэзия,поэзiя
поэма,поэма
поэт,поэтъ
поэтому,поэтому и по-этому
появление,появленіе
пояс,поясъ
правитель,правитель
праведник,праведникъ
правление,правленіе
правописание,правописаніе
пражский,пражскій
праздник,праздникъ
Прасковья,Прасковья и Парасковья
прачечная,прачечная
пребывание,пребываніе
пребыть,пребыть  (быть
превзойти,превзойти
превозмогать,превозмогать
превозносит,превозноситъ
превосходить,превосходить
превосходно,превосходно
превыше,превыше
преграда,преграда
предание,преданіе
преданность,преданность
предать,предать (измѣннически выдать
предварительно,предварительно
предведение,предвѣдѣнiе
предвидение,предвидѣнiе
предвидеть,предвидѣть
предел,предѣлъ (граница)
предисловие,предисловіе
предлагать,предлагать
предлог,предлогъ
предложение,предложеніе
предместье,предмѣстье
предмет,предметъ
преднамеренно,преднамѣренно
предполагать,предполагать
предположение,предположеніе
председатель,предсѣдатель
представиться,представиться (кому-либо)
представление,представленiе
предтеча,предтеча
предубеждение,предубѣжденiе
предуведомить,предувѣдомить
предуготовительный,предуготовительный
предшественник,предшественникъ
предшествующий,предшествующiй
предъявлять,предъявлять
предыдущий,предыдущiй
предыдущий,предыдущiй
преемник,преемникъ (наслѣдникъ)
преемственность,преемственность
прежде,прежде
преждевременный,преждевременный
прежний,прежній
презреть,презрѣть (пренебречь)
преимущественно,преимущественно
преклоняться,преклоняться (обнаруживать уваженiе)
прекословить,прекословить
прекрасный,прекрасный
прекратить,прекратить
прелагать,прелагать (претворять)
прелестный,прелестный
прелый,прѣлый
пренебрегать,пренебрегать
прение,пренiе (отъ гл. переть) - споръ
преобразование,преобразованіе
преодолевать,преодолѣвать
препинание,препинаніе
препирание,препираніе
преподнести,преподнести
преполовение,преполовенiе
препятствовать,препятствовать
пререканиие,пререканиiе
прерывать,прерывать
преследование,преслѣдованіе
пресловутый,пресловутый
пресмыкающийся,пресмыкающiйся
пресненский,прѣсненскiй
пресный,прѣсный
преспокойно,преспокойно
пресса,пресса
пресс-папье,прессъ-папье
преставиться,преставиться (умереть)
преставление,преставленiе
престол,престолъ
преступать,преступать (нарушать)
преступник,преступникъ
претерпеть,претерпѣть
претить,претить
преуспеяние,преуспѣянiе
префект,префектъ
преферанс,преферансъ
преходить,преходить (проходить)
преходящий,преходящiй (временный)
приамурский,прiамурскiй
прибавление,прибавленіе
прибаутка,прибаутка
прибегнуть,прибѣгнуть
приближённый,приближённый
приблизительно,приблизительно
приведение (приговора),приведенiе (приговора)
привезен,привезенъ
привёл,привёлъ
привелось,привелось
привередничать,привередничать
привести,привести
привет,привѣтъ
приветливый,привѣтливый
привещать,привѣщать
привидение,привидѣнiе
привидение,привидѣнiе (духъ)
привилегия,привилегiя (и привиллегія)
привлекать,привлекать
привораживать,привораживать
приворачивать,приворачивать
привязчивый,привязчивый
приговаривать,приговаривать
пригореть,пригорѣть
пригорок,пригорокъ
приготовление,приготовленіе
пригревать,пригрѣвать
приданое,приданое
придел,придѣлъ (боковой алтарь)
придуман,придуманъ
придуманный,придуманный
приезд,пріѣздъ
приезжий,прiѣзжiй
приезжий,пріѣзжій
приём,пріёмъ
приемник,прiёмникъ (приборъ)
приехать,пріѣхать
призреть,призрѣть (заботиться)
прийти,прiйти
приказчик,приказчикъ
прикасаться,прикасаться
приклоняться,приклоняться (нагибаться)
прикосновение,прикосновеніе
прикреплён,прикрѣплёнъ
прилагать,прилагать (прибавлять)
прилежный,прилежный
прилепить,прилѣпить
прилететь,прилетѣть
приложить,приложить
применение,примѣненiе
пример,примѣръ
примерять,примѣрять
примесь,примѣсь
примечать,примѣчать
принадлежать,принадлежать
принесённый,принесённый
приноровиться,приноровиться
принуждение,принужденiе
принцесса,принцесса
приобрести,пріобрѣсти
приобретать,прiобрѣтать
приобретён,пріобрѣтёнъ
приобретший,приiобрѣтшiй и прiобрѣвшiй
приплёлся,приплёлся
присесть,присѣсть
присоединилить,присоединить
приспособить,приспособить
пристально,пристально
пристенок,пристѣнокъ
приступать,приступать (къ кому или чему-либо)
присутствие,присутствiе
присущий,присущiй
притеснять,притѣснять
притолока,притолока
притом,притомъ (нарѣчiе)
приурочить,пріурочить
приучить,прiучить
приходить,приходить (являться куда-нибудь)
приходящий,приходящiй (тотъ
прицел,прицѣлъ
прицепить,прицѣпить
причём,при чёмъ
причина,причина
пришёл,пришёлъ и пришолъ
при этом,при этомъ
приятель,пріятель
приятно,пріятно
пробежать,пробѣжать
проблема,проблема
пробьёте,пробьёте
проверить,провѣрить
провести,провести
провиант,провiантъ
провидение,провидѣнiе
провинциальный,провинцiальный
проволока,проволока
прогневать,прогнѣвать
прогорать,прогорать
программа,программа
прогресс,прогрессъ
прогрессия,прогрессiя
продавец,продавецъ
продолжение,продолженіе
продолжительный,продолжительный
проезд,проѣздъ
проект,проектъ и проэктъ
проехат,проѣхатъ
прозевать,прозѣвать
проигрывать,проигрывать
произведение,произведеніе
произрастать,произрастать
происхождение,происхожденiе
происшествие,происшествiе
пройти,пройти
Прокофий,Прокофiй и Прокопiй
пролезть,пролѣзть
промеж,промежъ
промысел,промыселъ (ремесло)
промышленность,промышленность
пронзённый,пронзённый
пропавший,провавшiй (тотъ
проповедник,проповѣдникъ
проповедующий и проповедывающий,проповедующiй и проповедывающiй
проповедь,проповѣдь
пропущен,пропущенъ
прорастать,прорастать
прорежать,прорѣжать
прорезать,прорѣзать
прорез и прорезь,прорѣзъ и прорѣзь
прорекать,прорекать
прореха,прорѣха
прорицание,прорицаніе
прорубь,прорубь
просветитель,просвѣтитель
просветлеть,просвѣтлѣть
просвещение,просвѣщеніе
про себя,про-себя
просека,просѣка
проследить,прослѣдить
просмотреть,просмотрѣть
проснувшийся,проснувшійся
простейший,простѣйшiй
простереть,простереть
простить,простить
простой,простой
простолюдин,простол<strong>ю</strong>динъ
простофиля,простофиля
пространство,пространство
просфора,просфора и просвира
просьба,просьба
противодействие,противодѣйствіе
противоположный,противоположный
противоречие,противорѣчіе
протоиерей,протоiерей
протокол,протоколъ
протопоп,протопопъ
протяжённость,протяжённость
профан,профанъ
профессия,профессiя
профессор,профессоръ
профиль,профиль
прохлаждаться,прохлаждаться
процесс,процессъ
прочий,прочiй
прочный,прочный
прочь,прочь
прошедший,прошедшiй
прошёл,прошёлъ
прошептать,прошептать
прошлогодний,прошлогоднiй
проще,проще
прощелыга,прощелыга
прощёный,прощёный
прусак,прусакъ (тараканъ)
пряденый,пряденый
прямое,прямое
прямолинейность,прямолинейность
псалтырь,псалтырь
пуговица,пуговица
пудинг,пудингъ
пустынник,пустынникъ
пустынножитель,пустынножитель
пустыня,пустыня (необитаемое мѣсто)
путаница,путаница
путём,путёмъ
путешественник,путешественникъ
путешествие,путешествіе
пуще,пуще
пфенниг,пфеннингъ
пчела,пчела
пшённый,пшонный
